Date,Hours_After_Hatch,Experiment,Observer,Species,Strain,unique_plate_id,Plate,Plate_type,Embryos,L1_L3,L4,Adults,Gravid_Adults,Total_adults,Derivation,Notations
3/7/23,24,A,Kim,C. elegans,MQ130,1,NGM_A,NGM,,262,,,,,L1_Synchronization,
3/7/23,24,A,Kim,C. elegans,MQ130,2,NGM_B,NGM,,262,,,,,L1_Synchronization,
3/7/23,24,A,Kim,C. elegans,PD1074,3,NGM_A,NGM,,176,,,,,L1_Synchronization,
3/7/23,24,A,Kim,C. elegans,PD1074,4,NGM_B,NGM,,190,,,,,L1_Synchronization,
3/7/23,24,A,Kim,C. inopinata,NKZ35,5,NGM_A,NGM,,131,,,,,L1_Synchronization,
3/7/23,24,A,Kim,C. inopinata,NKZ35,6,NGM_B,NGM,,125,,,,,L1_Synchronization,
3/7/23,24,A,Kim,C. elegans,MQ130,7,"2,4-DHB_A",2-4_DHB,,186,,,,,L1_Synchronization,
3/7/23,24,A,Kim,C. elegans,MQ130,8,"2,4-DHB_B",2-4_DHB,,637,,,,,L1_Synchronization,
3/7/23,24,A,Kim,C. elegans,PD1074,9,"2,4-DHB_A",2-4_DHB,,223,,,,,L1_Synchronization,
3/7/23,24,A,Kim,C. elegans,PD1074,10,"2,4-DHB_B",2-4_DHB,,224,,,,,L1_Synchronization,
3/7/23,24,A,Kim,C. inopinata,NKZ35,11,"2,4-DHB_A",2-4_DHB,,117,,,,,L1_Synchronization,
3/7/23,24,A,Kim,C. inopinata,NKZ35,12,"2,4-DHB_B",2-4_DHB,,128,,,,,L1_Synchronization,
3/8/23,48,A,Kim,C. elegans,MQ130,1,NGM_A,NGM,,257,,,,,L1_Synchronization,
3/8/23,48,A,Kim,C. elegans,MQ130,2,NGM_B,NGM,,259,1,,,,L1_Synchronization,
3/8/23,48,A,Kim,C. elegans,PD1074,3,NGM_A,NGM,,38,107,22,12,34,L1_Synchronization,
3/8/23,48,A,Kim,C. elegans,PD1074,4,NGM_B,NGM,,44,132,15,8,23,L1_Synchronization,
3/8/23,48,A,Kim,C. inopinata,NKZ35,5,NGM_A,NGM,,226,,,,,L1_Synchronization,
3/8/23,48,A,Kim,C. inopinata,NKZ35,6,NGM_B,NGM,,183,,,,,L1_Synchronization,
3/8/23,48,A,Kim,C. elegans,MQ130,7,"2,4-DHB_A",2-4_DHB,,79,103,,,,L1_Synchronization,
3/8/23,48,A,Kim,C. elegans,MQ130,8,"2,4-DHB_B",2-4_DHB,,123,506,,,,L1_Synchronization,
3/8/23,48,A,Kim,C. elegans,PD1074,9,"2,4-DHB_A",2-4_DHB,,48,167,6,,6,L1_Synchronization,
3/8/23,48,A,Kim,C. elegans,PD1074,10,"2,4-DHB_B",2-4_DHB,,53,170,3,,3,L1_Synchronization,
3/8/23,48,A,Kim,C. inopinata,NKZ35,11,"2,4-DHB_A",2-4_DHB,,142,,,,,L1_Synchronization,
3/8/23,48,A,Kim,C. inopinata,NKZ35,12,"2,4-DHB_B",2-4_DHB,,152,,,,,L1_Synchronization,
3/9/23,72,A,Kim,C. elegans,MQ130,1,NGM_A,NGM,,56,178,23,,23,L1_Synchronization,
3/9/23,72,A,Kim,C. elegans,MQ130,2,NGM_B,NGM,,117,130,2,,2,L1_Synchronization,
3/9/23,72,A,Kim,C. elegans,PD1074,3,NGM_A,NGM,,16,12,0,150,150,L1_Synchronization,
3/9/23,72,A,Kim,C. elegans,PD1074,4,NGM_B,NGM,,8,18,232,141,373,L1_Synchronization,
3/9/23,72,A,Kim,C. inopinata,NKZ35,5,NGM_A,NGM,,172,47,,,,L1_Synchronization,
3/9/23,72,A,Kim,C. inopinata,NKZ35,6,NGM_B,NGM,,161,12,,,,L1_Synchronization,
3/9/23,72,A,Kim,C. elegans,MQ130,7,"2,4-DHB_A",2-4_DHB,,42,46,81,12,93,L1_Synchronization,
3/9/23,72,A,Kim,C. elegans,MQ130,8,"2,4-DHB_B",2-4_DHB,,62,112,55,100,155,L1_Synchronization,
3/9/23,72,A,Kim,C. elegans,PD1074,9,"2,4-DHB_A",2-4_DHB,,3,8,13,196,209,L1_Synchronization,
3/9/23,72,A,Kim,C. elegans,PD1074,10,"2,4-DHB_B",2-4_DHB,,0,16,18,195,213,L1_Synchronization,
3/9/23,72,A,Kim,C. inopinata,NKZ35,11,"2,4-DHB_A",2-4_DHB,,119,21,,,,L1_Synchronization,
3/9/23,72,A,Kim,C. inopinata,NKZ35,12,"2,4-DHB_B",2-4_DHB,,120,18,4,,4,L1_Synchronization,
3/10/23,96,A,Kim,C. elegans,MQ130,1,NGM_A,NGM,,2,36,182,23,205,L1_Synchronization,
3/10/23,96,A,Kim,C. elegans,MQ130,2,NGM_B,NGM,,0,67,180,3,183,L1_Synchronization,
3/10/23,96,A,Kim,C. elegans,PD1074,3,NGM_A,NGM,,0,4,20,154,174,L1_Synchronization,
3/10/23,96,A,Kim,C. elegans,PD1074,4,NGM_B,NGM,,0,2,12,161,173,L1_Synchronization,
3/10/23,96,A,Kim,C. inopinata,NKZ35,5,NGM_A,NGM,,67,123,32,,32,L1_Synchronization,
3/10/23,96,A,Kim,C. inopinata,NKZ35,6,NGM_B,NGM,,83,61,29,,29,L1_Synchronization,
3/10/23,96,A,Kim,C. elegans,MQ130,7,"2,4-DHB_A",2-4_DHB,,0,12,36,189,225,L1_Synchronization,
3/10/23,96,A,Kim,C. elegans,MQ130,8,"2,4-DHB_B",2-4_DHB,,0,32,219,302,521,L1_Synchronization,
3/10/23,96,A,Kim,C. elegans,PD1074,9,"2,4-DHB_A",2-4_DHB,,0,0,0,216,216,L1_Synchronization,
3/10/23,96,A,Kim,C. elegans,PD1074,10,"2,4-DHB_B",2-4_DHB,,0,0,8,212,220,L1_Synchronization,
3/10/23,96,A,Kim,C. inopinata,NKZ35,11,"2,4-DHB_A",2-4_DHB,,41,93,18,,18,L1_Synchronization,
3/10/23,96,A,Kim,C. inopinata,NKZ35,12,"2,4-DHB_B",2-4_DHB,,48,72,22,,22,L1_Synchronization,
3/12/23,144,A,Kim,C. elegans,MQ130,1,NGM_A,NGM,,0,0,6,176,182,L1_Synchronization,
3/12/23,144,A,Kim,C. elegans,MQ130,2,NGM_B,NGM,,0,0,15,150,165,L1_Synchronization,
3/12/23,144,A,Kim,C. elegans,PD1074,3,NGM_A,NGM,,0,0,0,139,139,L1_Synchronization,
